	Kingdom	Phyllum	Class	Order	Family	Genus	Species
ZOTU17765	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Paracaedibacterales	 f__Paracaedibacteraceae	 g__Candidatus_Paracaedibacter	 s__
ZOTU16297	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	 s__uncultured_bacterium
ZOTU17544	 k__Bacteria	 p__Verrucomicrobiota	 c__Omnitrophia	 o__Omnitrophales	 f__Omnitrophales	 g__Omnitrophales	 s__
ZOTU13424	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pirellula	 s__uncultured_bacterium
ZOTU13313	 k__Bacteria	 p__Elusimicrobiota	 c__Lineage_IIc	 o__Lineage_IIc	 f__Lineage_IIc	 g__Lineage_IIc	 s__uncultured_bacterium
ZOTU12667	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__37-13	 g__37-13	 s__uncultured_bacterium
ZOTU19233	 k__Bacteria	 p__Sumerlaeota	 c__Sumerlaeia	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_organism
ZOTU18642	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pir4_lineage	 s__uncultured_bacterium
ZOTU18486	 k__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Gaiellales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
ZOTU19715	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	 s__
ZOTU10649	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__Phycisphaeraceae	 g__uncultured	 s__
ZOTU14605	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Polyangiaceae	 g__	 s__
ZOTU17751	 k__Bacteria	 p__Verrucomicrobiota	 c__Chlamydiae	 o__Chlamydiales	 f__	 g__	 s__
ZOTU13454	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__Phycisphaeraceae	 g__SM1A02	 s__
ZOTU18948	 k__Bacteria	 p__Verrucomicrobiota	 c__Omnitrophia	 o__Omnitrophales	 f__Omnitrophaceae	 g__Candidatus_Omnitrophus	 s__uncultured_bacterium
ZOTU12523	 k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Subgroup_17	 f__Subgroup_17	 g__Subgroup_17	 s__
ZOTU12421	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Opitutales	 f__Opitutaceae	 g__	 s__
ZOTU19724	 k__Archaea	 p__Nanoarchaeota	 c__Nanoarchaeia	 o__	 f__	 g__	 s__
ZOTU19179	 k__Bacteria	 p__Spirochaetota	 c__	 o__	 f__	 g__	 s__
ZOTU7147	 k__Bacteria	 p__SAR324_clade	 c__0.9900	 o__Marine_group_B	 f__SAR324_clade	 g__0.9703	 s__Marine_group_B
ZOTU14534	 k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Frankiales	 f__Nakamurellaceae	 g__Nakamurella	 s__uncultured_bacterium
ZOTU17994	 k__Bacteria	 p__Sumerlaeota	 c__Sumerlaeia	 o__Sumerlaeales	 f__Sumerlaeaceae	 g__Sumerlaea	 s__uncultured_delta
ZOTU16848	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Sandaracinaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU10414	 k__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Candidatus_Peregrinibacteria	 f__Candidatus_Peregrinibacteria	 g__Candidatus_Peregrinibacteria	 s__
ZOTU12285	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__	 f__	 g__	 s__
ZOTU12534	 k__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	 s__uncultured_bacterium
ZOTU17254	 k__Bacteria	 p__Verrucomicrobiota	 c__Omnitrophia	 o__Omnitrophales	 f__Omnitrophales	 g__Omnitrophales	 s__uncultured_bacterium
ZOTU13194	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__
ZOTU20314	 k__Bacteria	 p__Myxococcota	 c__Myxococcia	 o__Myxococcales	 f__Myxococcaceae	 g__P3OB-42	 s__
ZOTU10416	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	 s__
ZOTU21637	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Haliangiales	 f__Haliangiaceae	 g__Haliangium	 s__uncultured_bacterium
ZOTU4117	 k__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	 s__uncultured_bacterium
ZOTU21784	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
ZOTU17148	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 g__Pedosphaeraceae	 s__
ZOTU19866	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__	 g__	 s__
ZOTU13453	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__uncultured_bacterium
ZOTU13013	 k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__Saccharimonadales	 g__Saccharimonadales	 s__uncultured_bacterium
ZOTU8583	 k__Bacteria	 p__Sumerlaeota	 c__Sumerlaeia	 o__Sumerlaeales	 f__Sumerlaeaceae	 g__Sumerlaea	 s__
ZOTU13711	 k__Bacteria	 p__Cyanobacteria	 c__Vampirivibrionia	 o__Vampirovibrionales	 f__Vampirovibrionales	 g__Vampirovibrionales	 s__uncultured_bacterium
ZOTU17521	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__env.OPS_17	 g__env.OPS_17	 s__metagenome
ZOTU21561	 k__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__OM27_clade	 s__uncultured_bacterium
ZOTU17984	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Methylacidiphilales	 f__Methylacidiphilaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU12877	 k__Bacteria	 p__Proteobacteria	 c__	 o__	 f__	 g__	 s__
ZOTU18392	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__
ZOTU15368	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	 s__uncultured_bacterium
ZOTU21653	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	 s__
ZOTU15765	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__	 f__	 g__	 s__
ZOTU20508	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__WD2101_soil_group	 g__WD2101_soil_group	 s__
ZOTU21558	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__	 f__	 g__	 s__
ZOTU15819	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__Oligoflexales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
ZOTU6239	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__
ZOTU21629	 k__Bacteria	 p__Cyanobacteria	 c__Vampirivibrionia	 o__Vampirovibrionales	 f__Vampirovibrionaceae	 g__Vampirovibrio	 s__
ZOTU16293	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Spirosomaceae	 g__Spirosoma	 s__
ZOTU8312	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__	 f__	 g__	 s__
ZOTU18670	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU16485	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Magnetospirillaceae	 g__uncultured	 s__metagenome
ZOTU16551	 k__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__
ZOTU15662	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Adlerbacteria	 f__Candidatus_Adlerbacteria	 g__Candidatus_Adlerbacteria	 s__metagenome
ZOTU19139	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Polyangiaceae	 g__Pajaroellobacter	 s__
ZOTU10311	 k__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Subgroup_17	 f__Subgroup_17	 g__Subgroup_17	 s__
ZOTU17188	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__	 f__	 g__	 s__
ZOTU15538	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__	 g__	 s__
ZOTU19121	 k__Bacteria	 p__Elusimicrobiota	 c__Lineage_IIc	 o__Lineage_IIc	 f__Lineage_IIc	 g__	 s__
ZOTU17033	 k__Bacteria	 p__Verrucomicrobiota	 c__Chlamydiae	 o__Chlamydiales	 f__Parachlamydiaceae	 g__	 s__
ZOTU12999	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Adlerbacteria	 f__Candidatus_Adlerbacteria	 g__Candidatus_Adlerbacteria	 s__
ZOTU13887	 k__Bacteria	 p__Verrucomicrobiota	 c__Chlamydiae	 o__Chlamydiales	 f__cvE6	 g__cvE6	 s__
ZOTU18514	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Parcubacteria	 f__Parcubacteria	 g__Parcubacteria	 s__uncultured_Parcubacteria
ZOTU13673	 k__Archaea	 p__Nanoarchaeota	 c__Nanoarchaeia	 o__Woesearchaeales	 f__Woesearchaeales	 g__Woesearchaeales	 s__
ZOTU21931	 k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__Saccharimonadales	 g__	 s__
ZOTU13789	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__
ZOTU19054	 k__Bacteria	 p__Chloroflexi	 c__Dehalococcoidia	 o__S085	 f__S085	 g__S085	 s__
ZOTU19595	 k__Bacteria	 p__Sumerlaeota	 c__Sumerlaeia	 o__Sumerlaeales	 f__Sumerlaeaceae	 g__Sumerlaea	 s__uncultured_bacterium
ZOTU12734	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__
ZOTU17991	 k__Bacteria	 p__	 c__	 o__	 f__	 g__	 s__
ZOTU12134	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Staskawiczbacteria	 f__Candidatus_Staskawiczbacteria	 g__Candidatus_Staskawiczbacteria	 s__uncultured_bacterium
ZOTU16420	 k__Bacteria	 p__Verrucomicrobiota	 c__Chlamydiae	 o__Chlamydiales	 f__Parachlamydiaceae	 g__	 s__
ZOTU13921	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pir4_lineage	 s__uncultured_bacterium
ZOTU19943	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Steroidobacterales	 f__Steroidobacteraceae	 g__Steroidobacter	 s__uncultured_bacterium
ZOTU14870	 k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__Saccharimonadales	 g__Saccharimonadales	 s__uncultured_bacterium
ZOTU10559	 k__Archaea	 p__Nanoarchaeota	 c__Nanoarchaeia	 o__Woesearchaeales	 f__Woesearchaeales	 g__Woesearchaeales	 s__uncultured_bacterium
ZOTU21022	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	 s__
ZOTU11290	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__	 g__	 s__
ZOTU12135	 k__Bacteria	 p__Myxococcota	 c__bacteriap25	 o__bacteriap25	 f__bacteriap25	 g__bacteriap25	 s__uncultured_bacterium
ZOTU18463	 k__Bacteria	 p__Cyanobacteria	 c__Vampirivibrionia	 o__Vampirovibrionales	 f__Vampirovibrionales	 g__Vampirovibrionales	 s__uncultured_bacterium
ZOTU7788	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__uncultured	 s__
ZOTU18221	 k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__Saccharimonadales	 g__Saccharimonadales	 s__uncultured_soil
ZOTU11405	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Nomurabacteria	 f__Candidatus_Nomurabacteria	 g__	 s__
ZOTU20206	 k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__	 g__	 s__
ZOTU10605	 k__Bacteria	 p__	 c__	 o__	 f__	 g__	 s__
ZOTU17012	 k__Bacteria	 p__Planctomycetota	 c__	 o__	 f__	 g__	 s__
ZOTU12449	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__TRA3-20	 g__TRA3-20	 s__
ZOTU13253	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__
ZOTU12011	 k__Archaea	 p__Nanoarchaeota	 c__Nanoarchaeia	 o__Woesearchaeales	 f__Woesearchaeales	 g__Woesearchaeales	 s__
ZOTU19882	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__WD2101_soil_group	 g__WD2101_soil_group	 s__uncultured_bacterium
ZOTU10563	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Nomurabacteria	 f__Candidatus_Nomurabacteria	 g__Candidatus_Nomurabacteria	 s__uncultured_bacterium
ZOTU14433	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__	 f__	 g__	 s__
ZOTU16328	 k__Bacteria	 p__Myxococcota	 c__Myxococcia	 o__Myxococcales	 f__Myxococcaceae	 g__P3OB-42	 s__uncultured_bacterium
ZOTU14709	 k__Bacteria	 p__Dependentiae	 c__Babeliae	 o__Babeliales	 f__Vermiphilaceae	 g__	 s__
ZOTU20962	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__Rikenella	 s__uncultured_bacterium
ZOTU12981	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__	 f__	 g__	 s__
ZOTU17088	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__	 s__
ZOTU18660	 k__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Candidatus_Peribacteria	 f__Candidatus_Peribacteria	 g__Candidatus_Peribacteria	 s__uncultured_bacterium
ZOTU17189	 k__Bacteria	 p__Firmicutes	 c__Limnochordia	 o__Limnochordia	 f__Limnochordia	 g__	 s__
ZOTU17926	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Paracaedibacterales	 f__Paracaedibacteraceae	 g__uncultured	 s__uncultured_bacterium
ZOTU22050	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__uncultured	 s__
ZOTU12729	 k__Archaea	 p__Nanoarchaeota	 c__Nanoarchaeia	 o__Woesearchaeales	 f__Woesearchaeales	 g__Woesearchaeales	 s__uncultured_euryarchaeote
ZOTU15586	 k__Bacteria	 p__Elusimicrobiota	 c__Lineage_IIb	 o__Lineage_IIb	 f__Lineage_IIb	 g__Lineage_IIb	 s__uncultured_bacterium
ZOTU20211	 k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__Saccharimonadales	 g__Saccharimonadales	 s__uncultured_bacterium
ZOTU13174	 k__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__metagenome
ZOTU16894	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__S-70	 f__S-70	 g__S-70	 s__uncultured_bacterium
ZOTU19901	 k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Bacillaceae	 g__Bacillus	 s__
ZOTU9504	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Aurantisolimonas	 s__
ZOTU20997	 k__Archaea	 p__Nanoarchaeota	 c__Nanoarchaeia	 o__Woesearchaeales	 f__Woesearchaeales	 g__Woesearchaeales	 s__uncultured_euryarchaeote
ZOTU15886	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Parcubacteria	 f__Parcubacteria	 g__Parcubacteria	 s__uncultured_bacterium
ZOTU19975	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__Fimbriiglobus	 s__uncultured_Gemmata
ZOTU12995	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 g__Pedosphaeraceae	 s__
ZOTU14212	 k__Bacteria	 p__Spirochaetota	 c__Spirochaetia	 o__Spirochaetales	 f__Spirochaetaceae	 g__Spirochaeta_2	 s__
ZOTU21257	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Nomurabacteria	 f__Candidatus_Nomurabacteria	 g__Candidatus_Nomurabacteria	 s__
ZOTU11304	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__uncultured	 f__uncultured	 g__	 s__
ZOTU6053	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__uncultured	 g__	 s__
ZOTU18620	 k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Caldilineales	 f__Caldilineaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU19224	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__uncultured_bacterium
ZOTU16320	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	 s__
ZOTU21993	 k__Bacteria	 p__Acidobacteriota	 c__Thermoanaerobaculia	 o__Thermoanaerobaculales	 f__Thermoanaerobaculaceae	 g__Subgroup_10	 s__uncultured_bacterium
ZOTU15911	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Diplorickettsiales	 f__Diplorickettsiaceae	 g__Aquicella	 s__uncultured_bacterium
ZOTU18488	 k__Bacteria	 p__Chloroflexi	 c__OLB14	 o__OLB14	 f__	 g__	 s__
ZOTU19016	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__SM2D12	 g__	 s__
ZOTU12338	 k__Bacteria	 p__Verrucomicrobiota	 c__Omnitrophia	 o__Omnitrophales	 f__Omnitrophales	 g__Omnitrophales	 s__uncultured_bacterium
ZOTU21478	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__
ZOTU17477	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__SM2D12	 g__SM2D12	 s__
ZOTU17698	 k__Bacteria	 p__SAR324_clade	 c__0.9800	 o__Marine_group_B	 f__SAR324_clade	 g__0.9412	 s__Marine_group_B
ZOTU22076	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__CPla-3_termite_group	 g__CPla-3_termite_group	 s__
ZOTU18982	 k__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__
ZOTU20495	 k__Bacteria	 p__Planctomycetota	 c__vadinHA49	 o__vadinHA49	 f__vadinHA49	 g__vadinHA49	 s__uncultured_bacterium
ZOTU21153	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__uncultured	 f__uncultured	 g__uncultured	 s__
ZOTU19170	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	 s__uncultured_bacterium
ZOTU15813	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	 s__
ZOTU7498	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Diplorickettsiales	 f__Diplorickettsiaceae	 g__uncultured	 s__
ZOTU16095	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Nannocystales	 f__Nannocystaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU16842	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Staskawiczbacteria	 f__Candidatus_Staskawiczbacteria	 g__Candidatus_Staskawiczbacteria	 s__uncultured_bacterium
ZOTU15638	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Diplorickettsiales	 f__Diplorickettsiaceae	 g__uncultured	 s__
ZOTU15983	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__
ZOTU13641	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Haliangiales	 f__Haliangiaceae	 g__Haliangium	 s__uncultured_bacterium
ZOTU14432	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Polyangiaceae	 g__Pajaroellobacter	 s__
ZOTU9864	 k__Bacteria	 p__	 c__	 o__	 f__	 g__	 s__
ZOTU21269	 k__Bacteria	 p__Verrucomicrobiota	 c__Chlamydiae	 o__Chlamydiales	 f__Simkaniaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU19557	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Pla1_lineage	 f__Pla1_lineage	 g__Pla1_lineage	 s__
ZOTU18379	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__uncultured_bacterium
ZOTU21431	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Diplorickettsiales	 f__Diplorickettsiaceae	 g__Aquicella	 s__
ZOTU12886	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__	 f__	 g__	 s__
ZOTU21166	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Coxiellales	 f__Coxiellaceae	 g__Coxiella	 s__uncultured_bacterium
ZOTU16574	 k__Bacteria	 p__Fibrobacterota	 c__Fibrobacteria	 o__Fibrobacterales	 f__Fibrobacteraceae	 g__uncultured	 s__bacterium_enrichment
ZOTU12423	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__LiUU-11-161	 g__	 s__
ZOTU11227	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__Tepidisphaeraceae	 g__Tepidisphaera	 s__
ZOTU21898	 k__Bacteria	 p__Patescibacteria	 c__Berkelbacteria	 o__Berkelbacteria	 f__Berkelbacteria	 g__Berkelbacteria	 s__uncultured_bacterium
ZOTU21158	 k__Bacteria	 p__	 c__	 o__	 f__	 g__	 s__
ZOTU17839	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Methylacidiphilales	 f__Methylacidiphilaceae	 g__uncultured	 s__uncultured_bacterium
ZOTU14542	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Pla1_lineage	 f__Pla1_lineage	 g__Pla1_lineage	 s__uncultured_bacterium
ZOTU2130	 k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria	 s__uncultured_bacterium
ZOTU20722	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__	 f__	 g__	 s__
ZOTU16280	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__
ZOTU17241	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Legionellales	 f__Legionellaceae	 g__Legionella	 s__
ZOTU7451	 k__Bacteria	 p__	 c__	 o__	 f__	 g__	 s__
ZOTU11504	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__uncultured_Planctomycetaceae
ZOTU19528	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pir4_lineage	 s__wastewater_metagenome
ZOTU17056	 k__Bacteria	 p__Verrucomicrobiota	 c__Chlamydiae	 o__Chlamydiales	 f__cvE6	 g__cvE6	 s__
ZOTU16156	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__	 s__
ZOTU18664	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Tannerellaceae	 g__	 s__
ZOTU11473	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__Gemmata	 s__
ZOTU17904	 k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__mle1-8	 f__mle1-8	 g__mle1-8	 s__uncultured_bacterium
ZOTU15570	 k__Bacteria	 p__SAR324_clade	 c__0.8700	 o__Marine_group_B	 f__SAR324_clade	 g__0.6585	 s__
ZOTU18964	 k__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Zambryskibacteria	 f__Candidatus_Zambryskibacteria	 g__Candidatus_Zambryskibacteria	 s__
ZOTU11200	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__SC-I-84	 g__SC-I-84	 s__uncultured_bacterium
ZOTU20528	 k__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__0319-6G20	 f__0319-6G20	 g__0319-6G20	 s__
ZOTU7686	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__Fimbriiglobus	 s__
ZOTU16661	 k__Bacteria	 p__Verrucomicrobiota	 c__Chlamydiae	 o__Chlamydiales	 f__	 g__	 s__
