	SID	Adult	Side	GruopID	Posit_ctrl	Neg_ctrl	Test	biol_fath	biol_moth	fost_fath	fost_moth	MaleID	FemaleID	S1	S2	S3	S4	S5	S6	S9	S10	S12	S15	S16	S17	S18	S19	S23	S24	S26	S28	S29	S34	S35	S37	S39	S40	S42	S43	S48	S49	S50	S52	Set1	Set2	Set3	Set4	date
S298b	d	no	no	WATER	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	43	43	43	43	9/5/2022
S301	S	no	no	ENVIRONMENT	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	9/5/2022
S303	S	Male	Dorsal	MD	0	1	0	1	1	1	1	657	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	9/5/2022
S313	S	no	no	CLW2	0	1	0	605	679	605	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	40	40	40	13/5/2022
S314	S	no	no	WATER	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	40	40	40	13/5/2022
S319a	d	no	no	CLW1	0	0	1	235	758	678	729	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	48	48	48	48	13/5/2022
S319b	d	no	no	CLW1	0	0	1	235	758	678	729	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	48	48	48	48	13/5/2022
S326a	d	no	no	CLW2	0	0	1	730	742	675	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	39	39	39	39	16/5/2022
S326b	d	no	no	CLW2	0	0	1	730	742	675	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	39	39	39	39	16/5/2022
S328a	d	no	no	TP	0	0	1	424	731	405	401	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	16/5/2022
S328b	d	no	no	TP	0	0	1	424	731	405	401	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	16/5/2022
S329	S	no	no	Controlseq	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16/5/2022
S330a	d	no	no	CLW1	0	0	1	605	679	658	888	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	49	49	49	49	16/5/2022
S330b	d	no	no	CLW1	0	0	1	605	679	658	888	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	49	49	49	49	16/5/2022
S331	S	no	no	TP	1	0	0	675	679	675	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	34	34	34	16/5/2022
S332	S	no	no	TP	1	0	0	675	679	675	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	34	34	34	16/5/2022
S337a	d	no	no	CLW2	0	0	1	235	758	678	729	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	48	48	48	48	19/5/2022
S337b	d	no	no	CLW2	0	0	1	235	758	678	729	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	48	48	48	48	19/5/2022
S341	S	no	no	METAMORPH	1	0	0	715	650	715	650	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	19/5/2022
S343a	d	no	no	CLW2	0	0	1	605	679	658	888	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	49	49	49	49	23/5/2022
S343b	d	no	no	CLW2	0	0	1	605	679	658	888	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	49	49	49	49	23/5/2022
