	SID	Adult	Side	GruopID	Posit_ctrl	Neg_ctrl	Test	biol_fath	biol_moth	fost_fath	fost_moth	MaleID	FemaleID	S1	S2	S3	S4	S5	S6	S9	S10	S12	S15	S16	S17	S18	S19	S23	S24	S26	S28	S29	S34	S35	S37	S39	S40	S42	S43	S48	S49	S50	S52	Set1	Set2	Set3	Set4	date
S413	S	no	no	METAMORPH	0	1	0	422	410	422	410	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	7/6/2022
S414a	d	no	no	METAMORPH	1	0	0	424	501	424	501	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9	7/6/2022
S414b	d	no	no	METAMORPH	1	0	0	424	501	424	501	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9	7/6/2022
S415a	d	no	no	METAMORPH	0	1	0	424	501	424	501	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	7/6/2022
S415b	d	no	no	METAMORPH	0	1	0	424	501	424	501	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	7/6/2022
S416	S	no	no	METAMORPH	0	1	0	424	501	424	501	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	7/6/2022
S417	S	no	no	METAMORPH	0	1	0	424	501	424	501	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	7/6/2022
S418	S	no	no	METAMORPH	0	1	0	424	501	424	501	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	7/6/2022
S423a	d	no	no	METAMORPH	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	16	16	no
S423b	d	no	no	METAMORPH	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	16	16	no
S425	S	no	no	METAMORPH	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	17	17	no
S426a	d	no	no	METAMORPH	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	17	17	no
S426b	d	no	no	METAMORPH	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	17	17	no
S427	S	no	no	METAMORPH	0	1	0	682	689	682	689	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	17	17	no
S429a	d	no	no	METAMORPH	0	1	0	507	717	507	717	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	7/6/2022
S429b	d	no	no	METAMORPH	0	1	0	507	717	507	717	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	18	18	7/6/2022
S432	S	no	no	METAMORPH	0	0	1	235	731	730	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	7/6/2022
S433a	d	no	no	METAMORPH	0	0	1	235	731	730	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	7/6/2022
S433b	d	no	no	METAMORPH	0	0	1	235	731	730	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	23	23	7/6/2022
S438	S	no	no	METAMORPH	1	0	0	675	679	675	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	34	34	34	7/6/2022
S439	S	no	no	METAMORPH	0	0	1	621	730	715	741	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	26	26	7/6/2022
S440	S	no	no	METAMORPH	0	0	1	621	730	715	741	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	26	26	7/6/2022
S441	S	no	no	TP	0	0	1	235	758	678	729	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	48	48	48	48	13/6/2022
S442	S	no	no	TP	0	1	0	657	661	657	661	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	no
S443	S	no	no	TP	0	1	0	657	661	657	661	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	no
S444	S	no	no	TP	0	1	0	657	661	657	661	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	no
S445	S	no	no	TP	0	1	0	657	661	657	661	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	no
S447	S	no	no	TP	0	0	1	605	679	658	888	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	49	49	49	49	13/6/2022
S448	S	no	no	TP	0	0	1	605	679	658	888	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	49	49	49	49	13/6/2022
S450	S	no	no	TP	0	0	1	605	679	658	888	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	49	49	49	49	26/7/2022
S453	S	no	no	METAMORPH	0	0	1	424	731	405	401	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	no
S454	S	no	no	TP	0	0	1	730	742	675	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	39	39	39	39	16/6/2022
S455	S	no	no	TP	0	0	1	730	742	675	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	39	39	39	39	16/6/2022
